X,Y,band1,band2,band3,band4,band5,band6,band7,band8,class
0,0,0,0,0,0,0,0,0,0,arti1_1
0,1,0,0,0,0,0,0,0,0,arti1_1
0,2,0,0,0,0,0,0,0,0,arti1_1
0,3,0,0,0,0,0,0,0,0,arti1_1
0,4,0,0,0,0,0,0,0,0,arti1_1
0,5,0,0,0,0,0,0,0,0,arti1_1
0,6,0,0,0,0,0,0,0,0,arti1_1
0,7,0,0,0,0,0,0,0,0,arti1_1
0,8,0,0,0,0,0,0,0,0,arti1_1
0,9,0,0,0,0,0,0,0,0,arti1_1
0,10,0,0,0,0,0,0,0,0,arti1_1
1,0,0,0,0,0,0,0,0,0,arti1_1
1,1,0,0,0,0,0,0,0,0,arti1_1
1,2,0,0,0,0,0,0,0,0,arti1_1
1,3,0,0,0,0,0,0,0,0,arti1_1
1,4,0,0,0,0,0,0,0,0,arti1_1
1,5,62,43,39,29,22,119,21,15,arti1_1
1,6,79,59,56,40,47,126,45,38,arti1_1
1,7,86,67,69,47,57,126,59,44,arti1_1
1,8,78,57,57,39,35,124,29,33,arti1_1
1,9,78,65,66,45,46,124,34,34,arti1_1
1,10,0,0,0,0,0,0,0,0,arti1_1
2,0,92,73,78,55,57,131,52,51,arti1_1
2,1,90,70,75,50,50,131,42,29,arti1_1
2,2,64,48,44,40,40,128,34,32,arti1_1
2,3,67,50,49,48,50,128,43,37,arti1_1
2,4,66,45,45,36,34,119,30,17,arti1_1
2,5,56,36,29,20,17,119,14,17,arti1_1
2,6,65,46,36,27,31,126,32,23,arti1_1
2,7,72,52,49,36,71,126,64,39,arti1_1
2,8,83,67,72,49,60,124,46,41,arti1_1
2,9,78,65,71,51,35,124,26,39,arti1_1
2,10,0,0,0,0,0,0,0,0,arti1_1
3,0,97,79,83,60,56,128,48,69,arti1_1
3,1,97,80,86,59,48,128,39,31,arti1_1
3,2,64,42,39,31,38,130,32,28,arti1_1
3,3,62,45,39,36,43,130,38,27,arti1_1
3,4,64,47,39,33,28,125,24,24,arti1_1
3,5,60,39,40,29,31,125,26,25,arti1_1
3,6,58,36,30,23,5,121,6,23,arti1_1
3,7,64,48,54,44,38,121,31,48,arti1_1
3,8,75,61,85,59,62,126,51,33,arti1_1
3,9,0,0,0,0,0,0,0,0,arti1_1
3,10,0,0,0,0,0,0,0,0,arti1_1
4,0,93,74,79,56,51,128,42,30,arti1_1
4,1,71,50,51,37,38,128,32,36,arti1_1
4,2,67,52,51,38,37,130,31,33,arti1_1
4,3,68,51,48,36,32,130,26,27,arti1_1
4,4,83,64,65,47,44,125,39,38,arti1_1
4,5,84,64,66,44,32,125,26,26,arti1_1
4,6,53,38,39,32,35,121,31,16,arti1_1
4,7,62,44,52,39,55,121,47,28,arti1_1
4,8,0,0,0,0,0,0,0,0,arti1_1
4,9,0,0,0,0,0,0,0,0,arti1_1
4,10,0,0,0,0,0,0,0,0,arti1_1
5,0,77,61,61,45,41,125,38,29,arti1_1
5,1,85,70,71,51,61,125,50,48,arti1_1
5,2,74,59,65,45,53,126,45,37,arti1_1
5,3,79,57,56,41,33,126,30,19,arti1_1
5,4,112,95,99,66,48,126,37,68,arti1_1
5,5,109,89,91,57,45,126,32,42,arti1_1
5,6,78,62,59,49,31,123,20,54,arti1_1
5,7,90,73,78,65,51,123,40,68,arti1_1
5,8,0,0,0,0,0,0,0,0,arti1_1
5,9,0,0,0,0,0,0,0,0,arti1_1
5,10,0,0,0,0,0,0,0,0,arti1_1
6,0,0,0,0,0,0,0,0,0,arti1_1
6,1,81,65,61,43,45,125,40,26,arti1_1
6,2,71,54,57,38,50,126,47,38,arti1_1
6,3,81,59,56,43,36,126,32,26,arti1_1
6,4,105,92,97,68,51,126,40,70,arti1_1
6,5,92,79,80,56,48,126,36,48,arti1_1
6,6,90,72,70,50,45,123,33,26,arti1_1
6,7,0,0,0,0,0,0,0,0,arti1_1
6,8,0,0,0,0,0,0,0,0,arti1_1
6,9,0,0,0,0,0,0,0,0,arti1_1
6,10,0,0,0,0,0,0,0,0,arti1_1
7,0,0,0,0,0,0,0,0,0,arti1_1
7,1,0,0,0,0,0,0,0,0,arti1_1
7,2,0,0,0,0,0,0,0,0,arti1_1
7,3,66,48,45,33,33,122,28,30,arti1_1
7,4,74,61,58,46,47,120,39,35,arti1_1
7,5,82,66,71,54,49,120,39,39,arti1_1
7,6,0,0,0,0,0,0,0,0,arti1_1
7,7,0,0,0,0,0,0,0,0,arti1_1
7,8,0,0,0,0,0,0,0,0,arti1_1
7,9,0,0,0,0,0,0,0,0,arti1_1
7,10,0,0,0,0,0,0,0,0,arti1_1
8,0,0,0,0,0,0,0,0,0,arti1_1
8,1,0,0,0,0,0,0,0,0,arti1_1
8,2,0,0,0,0,0,0,0,0,arti1_1
8,3,0,0,0,0,0,0,0,0,arti1_1
8,4,0,0,0,0,0,0,0,0,arti1_1
8,5,0,0,0,0,0,0,0,0,arti1_1
8,6,87,74,80,64,68,127,55,59,arti1_1
8,7,0,0,0,0,0,0,0,0,arti1_1
8,8,0,0,0,0,0,0,0,0,arti1_1
8,9,0,0,0,0,0,0,0,0,arti1_1
8,10,0,0,0,0,0,0,0,0,arti1_1
0,0,0,0,0,0,0,0,0,0,arti1_2
0,1,0,0,0,0,0,0,0,0,arti1_2
0,2,0,0,0,0,0,0,0,0,arti1_2
0,3,0,0,0,0,0,0,0,0,arti1_2
0,4,0,0,0,0,0,0,0,0,arti1_2
0,5,0,0,0,0,0,0,0,0,arti1_2
0,6,0,0,0,0,0,0,0,0,arti1_2
0,7,0,0,0,0,0,0,0,0,arti1_2
0,8,0,0,0,0,0,0,0,0,arti1_2
0,9,0,0,0,0,0,0,0,0,arti1_2
0,10,0,0,0,0,0,0,0,0,arti1_2
0,11,0,0,0,0,0,0,0,0,arti1_2
0,12,0,0,0,0,0,0,0,0,arti1_2
0,13,0,0,0,0,0,0,0,0,arti1_2
0,14,61,43,40,56,39,131,26,33,arti1_2
0,15,0,0,0,0,0,0,0,0,arti1_2
1,0,0,0,0,0,0,0,0,0,arti1_2
1,1,0,0,0,0,0,0,0,0,arti1_2
1,2,0,0,0,0,0,0,0,0,arti1_2
1,3,0,0,0,0,0,0,0,0,arti1_2
1,4,0,0,0,0,0,0,0,0,arti1_2
1,5,0,0,0,0,0,0,0,0,arti1_2
1,6,0,0,0,0,0,0,0,0,arti1_2
1,7,0,0,0,0,0,0,0,0,arti1_2
1,8,0,0,0,0,0,0,0,0,arti1_2
1,9,0,0,0,0,0,0,0,0,arti1_2
1,10,0,0,0,0,0,0,0,0,arti1_2
1,11,64,47,46,63,50,128,36,38,arti1_2
1,12,60,46,41,61,49,130,37,35,arti1_2
1,13,61,44,40,59,43,130,30,33,arti1_2
1,14,60,43,35,64,41,131,27,39,arti1_2
1,15,0,0,0,0,0,0,0,0,arti1_2
2,0,0,0,0,0,0,0,0,0,arti1_2
2,1,0,0,0,0,0,0,0,0,arti1_2
2,2,0,0,0,0,0,0,0,0,arti1_2
2,3,0,0,0,0,0,0,0,0,arti1_2
2,4,0,0,0,0,0,0,0,0,arti1_2
2,5,0,0,0,0,0,0,0,0,arti1_2
2,6,0,0,0,0,0,0,0,0,arti1_2
2,7,0,0,0,0,0,0,0,0,arti1_2
2,8,65,48,45,59,43,129,33,32,arti1_2
2,9,58,43,40,63,45,129,33,30,arti1_2
2,10,55,44,41,63,51,128,37,35,arti1_2
2,11,56,42,38,66,47,128,32,34,arti1_2
