X,Y,band1,band2,band3,band4,band5,band6,band7
0,0,57,48,51,84,62,126,42
0,1,56,44,45,86,53,126,34
0,2,56,42,38,73,42,126,24
0,3,57,43,37,71,39,126,26
0,4,56,41,33,67,44,126,26
0,5,50,35,30,62,43,120,23
0,6,49,35,29,64,37,120,21
0,7,51,36,29,56,34,122,20
0,8,53,39,32,39,22,122,14
0,9,54,39,34,14,10,117,10
0,10,52,40,37,23,11,117,10
0,11,57,47,48,39,15,117,10
0,12,54,39,39,37,17,117,11
0,13,48,35,28,47,24,119,16
0,14,52,34,27,71,35,119,18
0,15,49,33,26,62,24,118,15
0,16,48,33,25,48,20,118,14
0,17,49,31,23,45,20,115,12
0,18,49,31,22,41,20,115,13
0,19,48,31,22,46,22,118,14
0,20,50,34,26,55,31,118,17
0,21,52,36,32,68,33,118,20
0,22,49,36,27,66,24,118,16
0,23,50,32,28,56,22,117,14
0,24,49,34,25,62,28,117,16
0,25,51,37,28,59,32,118,20
0,26,53,35,29,57,42,118,23
0,27,50,34,28,52,33,117,21
0,28,52,39,33,79,48,117,24
0,29,53,37,30,73,39,121,17
0,30,52,38,28,85,46,121,27
0,31,52,43,32,97,55,124,27
0,32,54,44,34,91,57,124,29
0,33,55,43,31,90,48,123,25
0,34,52,43,32,102,61,123,28
0,35,51,40,30,89,50,122,25
0,36,51,35,27,52,26,122,16
0,37,52,39,31,89,43,123,21
0,38,54,44,29,143,67,123,29
0,39,50,43,29,132,57,122,27
0,40,50,35,26,75,31,122,16
0,41,51,36,27,63,30,118,20
0,42,48,34,26,62,26,118,15
0,43,50,37,29,97,48,119,24
0,44,55,42,37,117,59,119,30
0,45,56,46,38,108,58,122,32
0,46,52,41,33,90,49,122,27
0,47,54,43,36,99,53,127,26
0,48,52,40,32,88,48,127,25
0,49,54,42,33,91,50,123,27
0,50,53,41,36,97,50,123,26
0,51,49,40,31,110,48,118,23
0,52,51,40,27,117,44,118,22
0,53,53,42,32,105,45,122,23
0,54,50,39,29,132,50,122,24
0,55,54,43,34,110,51,123,29
0,56,55,46,37,95,53,123,29
0,57,56,44,35,109,58,127,30
0,58,52,42,31,117,58,127,28
0,59,49,40,29,110,50,123,24
0,60,50,39,29,91,45,123,23
0,61,53,38,28,90,45,122,24
0,62,49,36,26,80,38,122,19
0,63,47,33,25,76,29,120,18
0,64,52,34,26,77,28,120,15
0,65,49,34,26,84,36,122,17
0,66,49,39,29,102,50,122,25
0,67,53,43,34,116,56,127,26
0,68,53,43,34,121,57,127,27
0,69,53,44,33,128,59,129,28
0,70,52,45,34,134,60,129,27
0,71,52,43,32,118,52,127,25
0,72,51,42,31,116,53,127,26
0,73,52,43,32,122,53,123,27
0,74,52,39,29,102,45,123,22
0,75,51,43,33,125,54,121,27
0,76,52,44,33,126,56,121,27
0,77,52,41,31,110,51,122,26
0,78,51,42,31,113,52,122,27
0,79,53,43,31,130,56,127,25
0,80,50,40,29,126,54,127,25
0,81,52,39,28,102,43,126,23
0,82,53,43,33,114,59,126,33
0,83,52,40,31,97,51,124,24
0,84,49,40,26,88,47,124,24
0,85,54,41,28,106,53,124,25
0,86,52,40,31,115,57,124,27
0,87,51,45,34,121,66,123,32
0,88,54,41,33,87,49,123,25
0,89,55,43,37,98,59,122,31
0,90,54,43,37,106,67,122,34
0,91,54,44,40,107,71,122,38
0,92,54,39,35,86,51,122,28
0,93,49,35,27,64,31,118,18
0,94,54,39,31,90,45,118,24
0,95,53,41,35,87,49,117,29
0,96,52,42,36,84,44,117,21
0,97,52,42,36,84,44,118,21
0,98,49,35,28,59,30,118,18
0,99,51,33,25,59,29,120,16
0,100,52,38,29,101,39,120,20
0,101,49,40,27,122,44,119,21
0,102,52,37,25,101,45,119,21
0,103,52,39,28,114,47,116,22
0,104,47,36,25,93,35,116,18
0,105,49,33,23,56,27,118,17
0,106,49,33,25,48,27,118,17
0,107,51,32,24,51,38,120,20
0,108,48,34,27,55,38,120,21
0,109,51,38,30,77,41,123,21
0,110,53,41,31,89,45,123,24
0,111,52,38,30,77,44,122,25
0,112,53,38,32,63,43,122,24
0,113,56,42,39,55,37,116,23
0,114,58,44,43,40,24,116,15
0,115,55,41,35,19,13,112,9
0,116,55,44,38,19,12,112,11
0,117,56,43,39,37,21,118,13
0,118,52,38,32,56,30,118,16
0,119,51,36,30,63,29,119,17
0,120,50,37,28,54,28,119,16
0,121,48,32,25,38,19,117,14
0,122,47,31,23,51,27,117,16
0,123,51,37,30,89,46,118,24
0,124,51,37,32,77,40,118,20
0,125,51,36,26,65,31,119,19
0,126,54,41,32,85,44,119,23
0,127,54,41,36,89,53,117,29
0,128,50,41,32,86,53,117,26
0,129,50,33,27,64,33,120,19
0,130,54,38,32,77,45,120,25
0,131,55,43,39,98,61,125,33
0,132,56,48,38,104,68,125,36
0,133,55,45,38,106,79,124,39
0,134,57,46,41,108,84,124,44
0,135,57,45,43,95,67,122,37
0,136,55,39,36,87,52,122,28
0,137,54,40,32,83,52,123,26
0,138,55,42,34,86,63,123,34
0,139,55,41,36,76,46,125,28
0,140,57,45,40,96,56,125,31
0,141,60,47,43,92,58,120,33
0,142,61,47,45,67,50,120,30
0,143,54,40,35,63,46,123,24
0,144,54,44,39,96,58,123,31
0,145,55,41,35,78,41,122,22
0,146,51,34,27,47,21,122,12
0,147,50,33,27,48,27,122,17
0,148,50,35,27,63,32,122,18
0,149,52,39,36,74,44,122,25
0,150,54,40,34,74,50,122,28
0,151,52,38,32,77,44,122,26
0,152,57,42,37,85,52,122,29
0,153,50,41,34,82,50,122,26
0,154,53,42,35,84,48,122,27
0,155,52,40,33,93,52,121,27
0,156,53,42,36,98,60,121,33
0,157,53,41,37,77,54,120,30
0,158,52,39,35,57,39,120,23
0,159,52,38,30,66,39,120,20
0,160,52,40,31,82,45,120,22
0,161,52,41,32,84,47,121,24
0,162,52,41,30,89,47,121,24
0,163,52,41,31,89,48,120,24
0,164,55,40,33,80,46,120,22
0,165,55,43,37,72,45,122,28
0,166,56,41,40,66,44,122,29
0,167,54,42,34,85,48,121,29
0,168,51,39,32,93,49,121,25
0,169,51,39,31,97,45,120,23
0,170,49,34,28,76,32,120,20
0,171,48,32,28,55,26,118,17
0,172,50,33,26,62,34,118,18
0,173,49,34,27,71,42,116,22
0,174,51,38,30,81,43,116,23
0,175,51,38,30,73,43,121,22
0,176,54,43,34,99,55,121,31
0,177,54,44,35,119,52,124,27
0,178,51,39,31,91,45,124,22
0,179,52,38,30,67,42,122,26
0,180,52,37,33,60,43,122,24
0,181,52,37,30,61,42,123,26
0,182,51,37,28,76,45,123,24
0,183,56,41,35,83,52,122,26
0,184,59,45,40,85,61,122,37
0,185,58,45,40,83,56,123,34
0,186,54,42,35,79,41,123,24
0,187,55,45,38,69,43,124,28
0,188,57,42,37,55,39,124,27
0,189,52,38,34,66,42,125,25
0,190,57,44,40,77,63,125,38
0,191,60,44,41,73,60,123,37
0,192,53,39,30,83,49,123,25
0,193,54,41,34,82,47,123,27
