X,Y,band1,band2,band3,class
0,0,0,0,0,artificial surface
0,1,0,0,0,artificial surface
0,2,0,0,0,artificial surface
0,3,0,0,0,artificial surface
0,4,0,0,0,artificial surface
0,5,0,0,0,artificial surface
0,6,0,0,0,artificial surface
0,7,0,0,0,artificial surface
0,8,0,0,0,artificial surface
0,9,0,0,0,artificial surface
0,10,0,0,0,artificial surface
1,0,0,0,0,artificial surface
1,1,0,0,0,artificial surface
1,2,0,0,0,artificial surface
1,3,0,0,0,artificial surface
1,4,0,0,0,artificial surface
1,5,62,43,39,artificial surface
1,6,79,59,56,artificial surface
1,7,86,67,69,artificial surface
1,8,78,57,57,artificial surface
1,9,78,65,66,artificial surface
1,10,0,0,0,artificial surface
2,0,92,73,78,artificial surface
2,1,90,70,75,artificial surface
2,2,64,48,44,artificial surface
2,3,67,50,49,artificial surface
2,4,66,45,45,artificial surface
2,5,56,36,29,artificial surface
2,6,65,46,36,artificial surface
2,7,72,52,49,artificial surface
2,8,83,67,72,artificial surface
2,9,78,65,71,artificial surface
2,10,0,0,0,artificial surface
3,0,97,79,83,artificial surface
3,1,97,80,86,artificial surface
3,2,64,42,39,artificial surface
3,3,62,45,39,artificial surface
3,4,64,47,39,artificial surface
3,5,60,39,40,artificial surface
3,6,58,36,30,artificial surface
3,7,64,48,54,artificial surface
3,8,75,61,85,artificial surface
3,9,0,0,0,artificial surface
3,10,0,0,0,artificial surface
4,0,93,74,79,artificial surface
4,1,71,50,51,artificial surface
4,2,67,52,51,artificial surface
4,3,68,51,48,artificial surface
4,4,83,64,65,artificial surface
4,5,84,64,66,artificial surface
4,6,53,38,39,artificial surface
4,7,62,44,52,artificial surface
4,8,0,0,0,artificial surface
4,9,0,0,0,artificial surface
4,10,0,0,0,artificial surface
5,0,77,61,61,artificial surface
5,1,85,70,71,artificial surface
5,2,74,59,65,artificial surface
5,3,79,57,56,artificial surface
5,4,112,95,99,artificial surface
5,5,109,89,91,artificial surface
5,6,78,62,59,artificial surface
5,7,90,73,78,artificial surface
5,8,0,0,0,artificial surface
5,9,0,0,0,artificial surface
5,10,0,0,0,artificial surface
6,0,0,0,0,artificial surface
6,1,81,65,61,artificial surface
6,2,71,54,57,artificial surface
6,3,81,59,56,artificial surface
6,4,105,92,97,artificial surface
6,5,92,79,80,artificial surface
6,6,90,72,70,artificial surface
6,7,0,0,0,artificial surface
6,8,0,0,0,artificial surface
6,9,0,0,0,artificial surface
6,10,0,0,0,artificial surface
7,0,0,0,0,artificial surface
7,1,0,0,0,artificial surface
7,2,0,0,0,artificial surface
7,3,66,48,45,artificial surface
7,4,74,61,58,artificial surface
7,5,82,66,71,artificial surface
7,6,0,0,0,artificial surface
7,7,0,0,0,artificial surface
7,8,0,0,0,artificial surface
7,9,0,0,0,artificial surface
7,10,0,0,0,artificial surface
8,0,0,0,0,artificial surface
8,1,0,0,0,artificial surface
8,2,0,0,0,artificial surface
8,3,0,0,0,artificial surface
8,4,0,0,0,artificial surface
8,5,0,0,0,artificial surface
8,6,87,74,80,artificial surface
8,7,0,0,0,artificial surface
8,8,0,0,0,artificial surface
8,9,0,0,0,artificial surface
8,10,0,0,0,artificial surface
0,0,0,0,0,artificial surface
0,1,0,0,0,artificial surface
0,2,0,0,0,artificial surface
0,3,0,0,0,artificial surface
0,4,0,0,0,artificial surface
0,5,0,0,0,artificial surface
0,6,0,0,0,artificial surface
0,7,0,0,0,artificial surface
0,8,0,0,0,artificial surface
0,9,0,0,0,artificial surface
0,10,0,0,0,artificial surface
0,11,0,0,0,artificial surface
0,12,0,0,0,artificial surface
0,13,0,0,0,artificial surface
0,14,61,43,40,artificial surface
0,15,0,0,0,artificial surface
1,0,0,0,0,artificial surface
1,1,0,0,0,artificial surface
1,2,0,0,0,artificial surface
1,3,0,0,0,artificial surface
1,4,0,0,0,artificial surface
1,5,0,0,0,artificial surface
1,6,0,0,0,artificial surface
1,7,0,0,0,artificial surface
1,8,0,0,0,artificial surface
1,9,0,0,0,artificial surface
1,10,0,0,0,artificial surface
1,11,64,47,46,artificial surface
1,12,60,46,41,artificial surface
1,13,61,44,40,artificial surface
1,14,60,43,35,artificial surface
1,15,0,0,0,artificial surface
2,0,0,0,0,artificial surface
2,1,0,0,0,artificial surface
2,2,0,0,0,artificial surface
